"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Draymond Green,,11.1,8.5,8.2,6.1,4.7,4.6,4.5,4.3,3.7,3.6,3.6,1.1,0.6
Kevin Willis,91.2,10.2,8.8,8.6,6.0,6.0,4.7,4.7,4.4,4.2,3.8,3.6,2.7,2.2
Gordon Hayward,90.6,10.4,8.9,8.7,5.7,5.4,4.9,4.9,3.6,3.5,2.8,2.0,1.2,0.0
Nen̻,88.7,10.8,9.6,9.3,6.1,5.3,5.0,4.0,3.2,3.2,3.0,2.7,0.3,-0.1
Donyell Marshall,88.7,10.4,8.5,6.0,6.0,5.0,4.2,4.2,3.8,3.8,3.0,1.3,1.3,0.3
Christian Laettner,87.0,11.6,7.5,6.6,6.2,6.2,5.1,5.0,4.3,4.1,2.7,2.6,2.3,0.7
Derrick Favors,86.1,8.3,8.0,7.9,7.1,5.1,5.1,4.4,4.2,3.0,2.9,2.7,1.4,
Zach Randolph,85.5,10.5,9.7,7.9,7.1,6.4,5.7,4.8,3.1,3.0,3.0,2.1,1.3,0.5
Tom Chambers,84.8,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.5,4.4,4.3,3.9,3.3
Derrick Coleman,84.8,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2.0,1.2,-0.2
Bob Boozer,84.6,11.6,10.6,9.4,5.9,5.8,5.3,3.9,3.9,3.7,2.8,1.4,,
