"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
JD Davison,,0.2,0.1,-0.2
Dave Jamerson,39.0,0.2,0.1,-0.1
Quinndary Weatherspoon,33.7,0.2,0.1,-0.1
Devon Dotson,32.7,0.2,0.1,0.0
Demetrius Jackson,31.7,0.2,0.1,-0.1
A.J. Guyton,24.9,0.3,0.1,-0.1
Carsen Edwards,21.1,0.3,0.1,-0.1
Tony Harris,20.1,0.2,0.1,-0.2
Charles Bradley,12.5,0.2,0.2,-0.1
Dwight Buycks,9.7,0.2,0.1,0.0
Lindell Wigginton,9.7,0.2,0.1,0.0
