"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Jaylin Williams,,3.3,2.4,1.9
Rick Fox,95.3,3.2,2.3,2.1
Greg Anderson,95.1,3.4,2.3,2.0
P.J. Washington,94.0,3.4,2.7,2.0
George Kaftan,93.9,3.4,2.4,1.6
Mark Landsberger,93.7,3.4,2.2,1.9
Derrick Williams,93.6,3.0,2.6,1.8
Nick Weatherspoon,93.1,3.6,2.4,2.1
Lew Hitch,92.8,3.3,2.7,2.2
Edgar Jones,92.7,3.4,2.4,2.3
Bobby Portis,91.6,3.5,2.4,1.5
