"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Norman Powell,,5.3,4.7,4.6,4.1,3.5,2.8,2.8,2.4,1.6,0.6,,,,,,
Sherman Douglas,93.4,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0,0.6,0.2,-0.1,,,,
Tyus Jones,93.3,5.7,5.1,4.5,4.4,3.6,3.0,3.0,2.8,1.5,0.3,,,,,,
Ricky Sobers,92.8,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1.0,0.1,,,,,
Greg Anthony,92.6,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,,,,,
Mario Chalmers,91.8,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,,,,,,,
Patty Mills,90.9,5.6,5.1,4.8,4.1,3.5,2.8,2.8,2.2,1.5,1.4,0.9,0.7,0.4,0.1,0.1,0.0
Marcus Smart,90.8,5.6,5.3,4.5,3.7,3.3,3.2,2.9,2.9,1.9,0.7,0.2,,,,,
Allen Leavell,90.5,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6,-0.1,,,,,,
John Long,90.2,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2.0,0.5,0.2,0.2,0.2,0.1,,
Bob Weiss,89.9,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.4,1.4,1.1,0.1,0.0,,,,
