"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jarell Martin,,1.3,0.8,0.6,0.5
Chris Crawford,92.9,1.3,0.9,0.6,0.6
Yi Jianlian,91.4,1.3,0.7,0.7,0.4
Malik Allen,88.4,1.1,0.9,0.7,0.5
Luka Garza,87.1,1.1,0.8,0.7,0.4
Steve Green,84.0,1.2,1.1,0.7,0.4
Bill Hosket,83.8,1.0,1.0,0.6,0.5
Ray Tolbert,82.9,1.1,0.8,0.7,0.3
Kessler Edwards,82.8,1.2,0.6,0.5,0.4
Julian Wright,82.3,1.7,0.8,0.8,0.6
Jordan Nwora,81.4,1.5,0.6,0.5,0.4
