"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Sean Williams,,2.5,0.4,0.3,-0.2,,,,,
Deyonta Davis,84.6,2.7,0.5,0.4,,,,,,
George Johnson,80.8,2.4,0.3,0.2,0.1,,,,,
Dave Hoppen,78.6,2.6,0.8,0.2,0.0,0.0,-0.1,,,
Omer Yurtseven,75.8,2.1,0.7,0.3,,,,,,
Evan Eschmeyer,73.7,2.5,0.7,0.5,0.2,,,,,
Chris Anstey,68.5,1.9,0.6,0.3,,,,,,
Jack Haley,66.5,2.2,0.4,0.3,0.2,0.1,0.0,0.0,0.0,-0.3
Michael Stewart,61.3,3.0,0.7,0.2,0.2,0.2,0.1,0.1,0.1,
LaRue Martin,55.7,1.9,0.4,0.1,-0.4,,,,,
John Shasky,54.2,1.9,0.7,-0.1,,,,,,
