Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,22.0,PHI,NBA,PG,1.0,0.0,16:35,5.0,5.0,1.0,0.0,0.0,,0.0,0.0,,4.0,6.0,7.0,1.0,0.0,0.0,0.0,10.0
2019-20,23.0,PHI,NBA,PG,1.0,0.0,29:18,8.0,9.0,0.889,0.0,0.0,,1.0,2.0,0.5,1.0,6.0,5.0,2.0,1.0,0.0,0.0,17.0
2020-21,24.0,PHI,NBA,PG,,,,,,,,,,,,,,,,,,,,
Career,,,NBA,,2.0,0.0,46,13.0,14.0,,0.0,0.0,,1.0,2.0,,5.0,12.0,12.0,3.0,1.0,0.0,0.0,27.0
