"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Ben Simmons,,9.2,8.2,6.9,6.0,2.2,1.8,1.0,,,,,
Glen Combs,89.0,8.7,8.6,6.7,5.1,2.7,2.5,0.0,,,,,
Doug Collins,88.1,10.0,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,,,,
Phil Chenier,86.3,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0.0,0.0,-0.1,,
Ray Williams,85.5,8.2,7.9,7.2,6.2,3.9,1.0,1.0,0.9,0.4,0.4,,
George Thompson,84.0,7.7,6.7,6.5,5.6,2.7,1.8,,,,,,
Michael Ray Richardson,83.4,8.7,6.9,6.0,5.5,3.3,2.4,2.0,0.3,,,,
Paul Seymour,83.3,9.3,8.7,6.7,3.8,3.2,2.3,1.8,0.8,0.5,0.4,0.3,-0.1
Darel Carrier,82.2,8.7,8.0,7.8,4.9,0.9,0.2,,,,,,
Derrick White,82.1,8.5,8.5,7.4,5.1,4.2,3.6,1.9,0.5,,,,
Micheal Williams,81.2,9.0,7.6,5.7,5.6,0.7,0.3,0.0,-0.1,-0.1,-0.2,,
