"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jared Sullinger,,4.8,4.0,3.9,2.7,-0.1,,
Michael Brooks,88.6,4.9,4.7,4.5,2.4,0.0,0.0,
Randy Mahaffey,87.5,5.7,4.7,3.7,2.6,,,
Saddiq Bey,86.7,4.0,3.9,3.5,3.3,,,
Chuck Gilmur,86.2,4.6,4.5,4.3,1.7,-0.1,,
Obi Toppin,85.2,4.8,4.3,3.9,2.1,1.5,,
Dave Meyers,83.7,5.0,3.9,2.4,2.2,,,
Keon Clark,83.4,5.3,4.7,4.2,3.7,0.2,0.0,
Bob Harris,82.9,5.0,4.3,3.4,1.9,1.0,,
Lionel Simmons,82.8,4.3,3.8,3.8,2.7,1.1,0.9,0.3
Jonathan Isaac,82.2,4.0,3.6,3.4,2.5,0.3,0.2,
