"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Ziaire Williams,,2.2,2.1,0.2,0.1,
Jim Palmer,90.3,2.4,1.9,0.2,,
Alaa Abdelnaby,86.5,2.1,2.0,0.5,0.3,-0.1
Joe Holup,85.8,2.1,1.8,0.3,,
Bob Bedell,83.0,2.4,2.2,0.8,0.1,
Julian Champagnie,82.2,2.5,1.8,0.4,,
Dave Sorenson,81.7,2.6,2.1,0.7,,
Stan Love,81.1,2.2,2.1,0.7,0.6,
Jabari Walker,80.8,2.9,2.0,0.2,,
Sam Pellom,79.7,2.2,1.8,0.7,0.0,
Eric Paschall,79.3,2.1,2.0,0.9,,
