"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Daniel Orton,,0.5,0.3,0.3,,
Micah Potter,84.3,0.4,0.3,0.2,0.0,
Olumide Oyedeji,80.0,0.4,0.4,0.3,,
Dave Feitl,74.0,0.5,0.4,0.3,0.2,0.1
Alan Ogg,72.7,0.5,0.3,0.0,,
Shawnelle Scott,70.4,0.5,0.4,0.2,0.2,
Kyrylo Fesenko,64.2,0.6,0.3,0.1,0.0,-0.1
Tacko Fall,63.2,0.5,0.2,0.1,,
Jabari Smith,63.2,0.7,0.5,0.2,0.0,
Hamed Haddadi,61.0,0.6,0.6,0.4,0.1,0.0
George ZÃ­dek,59.1,0.6,0.3,0.0,,
