"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 24_level_0', 'Awards')"
2010-11,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2011-12,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2012-13,24,2TM,NBA,PF,13,0,58,.429,.429,.429,.500,.457,.571,.000,95,89,86,66,85,211,0,-1.0,-1.4,
2012-13,24,BOS,NBA,PF,5,0,18,.500,.500,.500,.500,.521,1.000,.000,110,104,101,66,97,370,0,0.0,-0.2,
2012-13,24,MIA,NBA,PF,8,0,40,.333,.333,.333,,.333,.000,.000,74,69,67,,62,0,0,-1.0,-1.2,
2013-14,25,2TM,NBA,PF,24,0,339,.600,.600,.600,.519,.597,.867,.000,132,123,120,69,110,305,0,11.9,9.3,
2013-14,25,CHI,NBA,PF,1,0,2,,,,,,,,,,,,,,,0.0,0.0,
2013-14,25,PHI,NBA,PF,23,0,337,.600,.600,.600,.519,.597,.867,.000,132,123,120,69,110,305,0,11.9,9.3,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,37,0,397,.582,.582,.582,.518,.584,.836,.000,128,119,116,69,108,295,0,10.9,7.9,
,,,,,,,,,,,,,,,,,,,,,,,,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,23,0,337,.600,.600,.600,.519,.597,.867,.000,132,123,120,69,110,305,0,11.9,9.3,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,8,0,40,.333,.333,.333,,.333,.000,.000,74,69,67,,62,0,0,-1.0,-1.2,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,5,0,18,.500,.500,.500,.500,.521,1.000,.000,110,104,101,66,97,370,0,0.0,-0.2,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,1,0,2,,,,,,,,,,,,,,,0.0,0.0,
