Season,Team,Lg,Salary
2010-11,Philadelphia 76ers,NBA,"$4,602,720"
2011-12,Philadelphia 76ers,NBA,"$4,947,840"
2012-13,Philadelphia 76ers,NBA,"$5,293,080"
2013-14,Philadelphia 76ers,NBA,"$6,679,867"
2014-15,Boston Celtics,NBA,"$3,278,000"
2015-16,Boston Celtics,NBA,"$3,425,510"
2016-17,Portland Trail Blazers,NBA,"$16,393,443"
2017-18,Portland Trail Blazers,NBA,"$17,131,148"
2018-19,Portland Trail Blazers,NBA,"$17,868,853"
2019-20,Minnesota Timberwolves,NBA,"$18,606,557"
Career,(may be incomplete),,"$98,227,018"
