"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')"
Tim Hardaway Jr.,,4.8,4.4,4.3,3.5,3.1,2.6,2.3,2.2,2.0,1.9,1.8,0.8,,,,,
Mike Gale,89.2,4.7,4.0,3.9,3.6,3.4,3.3,2.6,2.4,2.4,2.2,2.0,,,,,,
Cory Joseph,89.1,4.5,3.5,3.5,3.4,3.1,2.9,2.5,2.3,2.1,1.8,1.5,0.9,0.2,0.0,,,
Tony Allen,88.5,5.1,4.7,4.2,4.1,3.1,2.7,2.7,2.7,2.4,1.9,1.9,1.7,1.6,0.1,,,
Ricky Sobers,87.0,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1.0,0.1,,,,,,
Eric Piatkowski,86.7,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2.0,1.2,0.9,0.1,0.1,0.0,,,
Trent Tucker,86.2,4.6,4.0,4.0,3.4,3.3,3.3,3.0,2.9,2.8,1.9,1.1,,,,,,
Greg Anthony,85.7,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,,,,,,
Eric Gordon,85.6,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.5,2.3,2.1,1.4,1.1,0.9,0.8,0.7,0.5
Anthony Peeler,85.3,4.1,3.8,3.7,3.4,3.2,2.7,2.5,2.4,2.2,1.1,0.8,0.6,0.5,,,,
Rodney Stuckey,84.7,5.0,4.5,4.0,3.8,2.7,2.5,2.2,2.0,2.0,-0.1,,,,,,,
