"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Ja Morant,,6.7,6.0,3.8,3.5,3.2,0.8,,,
Eric Murdock,87.8,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1
Monte Morris,86.9,6.2,5.4,4.2,3.8,2.9,1.2,0.8,0.2,
Grayson Allen,86.1,6.9,5.1,4.2,2.7,2.5,1.2,0.0,,
Donte DiVincenzo,85.5,6.6,4.3,4.2,3.9,3.6,0.7,0.6,,
Delonte West,85.3,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,
Immanuel Quickley,85.1,6.7,4.7,4.2,3.2,2.5,,,,
Ron Williams,84.4,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0.0,
Phil Ford,83.4,6.1,5.7,5.2,2.9,2.4,0.9,0.2,,
Terance Mann,83.3,5.5,4.3,4.2,3.7,3.0,0.8,,,
Anthony Parker,83.1,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0.0
