Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2021-22,21,CHO,NBA,SG,2,0,7,14.6,0.568,0.0,0.0,0.0,16.2,6.9,0.0,0.0,5.3,0.0,0.0,0.0,0.164,0.0,5.9,6.0,0.0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,7,14.6,0.568,0.0,0.0,0.0,16.2,6.9,0.0,0.0,5.3,0.0,0.0,0.0,0.164,0.0,5.9,6.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,287,14.6,0.568,0.0,0.0,0.0,16.2,6.9,0.0,0.0,5.3,0.5,0.4,1.0,0.164,0.0,5.9,6.0,0.5,
