Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2021-22,21,CHO,NBA,SG,2,0,7,0,0,0,0,0,0,1,2,0.5,0,0,0,1,1,0,0,0,1,0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,7,0,0,0,0,0,0,1,2,0.5,0,0,0,1,1,0,0,0,1,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,287,0,0,0,0,0,0,41,82,0.5,0,0,0,41,41,0,0,0,41,0,
