"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 14_level_0', 'Awards')"
2021-22,21,CHO,NBA,SG,2,0,7,0.5,0.568,65,100,0.0,0.0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,7,0.5,0.568,65,100,0.0,0.0,
