Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2007-08,22,WAS,NBA,SG,3,0,15,14.5,0.568,7.7,15.7,11.7,10.0,3.6,5.8,0.0,2.8,0.0,0.0,0.1,0.167,2.2,5.0,7.2,0.0,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,15,14.5,0.568,7.7,15.7,11.7,10.0,3.6,5.8,0.0,2.8,0.0,0.0,0.1,0.167,2.2,5.0,7.2,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,410,14.5,0.568,7.7,15.7,11.7,10.0,3.6,5.8,0.0,2.8,0.7,0.7,1.4,0.167,2.2,5.0,7.2,1.0,
