Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2007-08,22,WAS,NBA,SG,3,0,15,0.0,0.0,0.0,0.0,0.0,0.0,3.6,7.3,0.5,3.6,7.3,10.9,3.6,3.6,3.6,0.0,3.6,3.6,161,102,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,15,0.0,0.0,0.0,0.0,0.0,0.0,3.6,7.3,0.5,3.6,7.3,10.9,3.6,3.6,3.6,0.0,3.6,3.6,161,102,
