"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Gerald Henderson,,3.6,3.6,3.3,2.4,2.0,2.0,1.0,0.4,,,
Rod Thorn,90.1,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,,,
Tyronn Lue,89.0,3.7,3.7,2.7,2.5,2.1,2.0,1.2,0.8,0.4,0.3,0.2
Kelvin Ransey,87.7,3.8,3.7,3.4,2.8,2.2,2.0,,,,,
Marcus Thornton,87.4,4.0,3.8,3.5,3.2,2.0,1.7,1.2,0.5,,,
Kenrich Williams,87.4,3.6,3.3,2.8,2.5,1.8,1.2,0.9,,,,
Alex Caruso,86.9,4.9,3.9,3.6,2.4,2.3,2.0,1.0,0.5,,,
MickaÃ«l PiÃ©trus,86.6,3.6,3.6,3.0,2.8,2.1,1.5,1.3,1.2,0.6,0.0,
Tony Snell,86.6,3.4,3.2,2.6,2.4,2.4,2.0,1.6,0.4,0.4,,
Fatty Taylor,86.1,3.7,3.0,2.6,2.6,2.1,1.3,1.2,0.4,,,
Steve Colter,85.5,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,,,
