"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Dante Exum,,2.9,1.2,1.0,0.7,0.6,0.4,-0.1,-0.1
Dion Glover,80.3,2.6,1.1,0.9,0.8,0.3,0.2,,
Justin Jackson,77.2,2.9,1.2,1.0,0.2,0.1,0.0,0.0,
Robert Smith,76.8,2.9,1.4,0.8,0.6,0.0,0.0,0.0,
Bucky Bockhorn,76.2,3.1,1.5,1.3,1.1,0.5,0.3,0.1,
Pete Myers,76.0,3.0,1.3,0.6,0.5,0.3,0.0,0.0,-0.1
Talen Horton-Tucker,74.2,2.1,1.1,1.1,0.8,0.8,0.1,,
Glenn Robinson III,74.1,2.9,2.5,0.8,0.7,0.6,0.3,0.1,
Cam Thomas,74.0,2.5,1.2,1.0,0.8,,,,
Jon Sundvold,73.9,3.0,1.5,1.2,1.0,1.0,0.8,0.2,0.2
Troy Brown Jr.,72.2,2.9,2.4,1.4,0.8,0.6,0.5,,
