"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Ty Lawson,,7.4,7.0,6.9,6.7,6.3,3.7,3.2,0.9
Vern Fleming,92.1,8.4,7.0,6.9,6.7,5.6,4.4,3.3,2.0
Nick Van Exel,91.1,7.2,7.1,6.4,6.4,5.7,4.9,3.4,2.2
Pete Maravich,90.9,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9
Freddie Lewis,90.3,7.6,7.5,7.2,6.2,6.0,5.2,3.0,0.0
Damon Stoudamire,89.6,7.6,6.7,6.6,6.1,4.7,4.3,3.6,1.6
Charlie Scott,89.5,7.4,7.2,6.5,6.4,4.7,3.9,2.5,2.4
Joe Johnson,89.1,7.6,7.6,7.0,6.0,5.1,3.3,3.0,2.8
David Wesley,89.0,7.6,6.3,6.1,6.1,5.8,4.8,2.6,0.6
Danny Ainge,88.6,8.6,6.8,6.7,6.7,6.6,5.2,1.8,0.5
Michael Adams,88.3,8.3,7.5,6.9,6.3,5.3,4.6,2.7,-0.1
