"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Ty Lawson,,7.4,7.0,6.9,6.7,6.3,3.7,3.2,0.9,,,,,,
Pete Maravich,89.9,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9,0.5,0.1,,,,
Trae Young,85.1,10.0,7.2,6.7,5.9,5.7,4.6,3.3,,,,,,,
Kerry Kittles,85.0,8.4,7.7,7.7,7.6,6.9,4.7,1.8,0.2,,,,,,
Jerry Sloan,84.7,7.2,7.0,6.8,6.5,6.4,6.0,2.9,2.6,1.9,1.4,0.9,,,
Michael Adams,84.5,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,,,
Charlie Scott,84.2,7.4,7.2,6.5,6.4,4.7,3.9,2.5,2.4,1.9,-1.4,,,,
B.J. Armstrong,83.3,8.1,7.5,7.5,7.0,4.6,4.1,2.2,1.7,1.3,0.7,0.4,,,
Brian Taylor,82.3,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,,,,
Rickey Green,82.0,7.9,6.7,6.6,5.7,5.6,5.2,3.3,1.8,1.8,1.2,0.7,0.5,0.3,-0.1
Vern Fleming,81.8,8.4,7.0,6.9,6.7,5.6,4.4,3.3,2.9,2.0,1.9,1.6,1.4,,
