Highlight,Unnamed: 1,In Stathead
"Career high, Points",37.0,View full stats from top 20 games
"Career high, Rebounds",10.0,View full stats from top 20 games
"Career high, Assists",18.0,View full stats from top 20 games
"Career high, Steals",8.0,View full stats from top 20 games
"Career high, Blocks",2.0,View full stats from top 20 games
"Career high, Game Score",36.9,View full stats from top 20 games
Triple-Doubles,1.0,View all
