"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Luke Walton,,3.8,3.2,2.0,2.0,1.6,0.8,0.5,0.3,-0.2,-0.4
Lawrence Funderburke,88.4,3.7,3.1,2.1,1.9,1.6,0.5,0.1,,,
Marvin Bagley III,86.8,3.6,2.7,2.0,2.0,1.4,0.6,0.4,,,
George Johnson,86.4,3.8,3.2,2.5,2.2,1.0,0.7,0.6,0.0,,
Danny Vranes,85.9,4.2,3.4,2.4,2.1,1.8,0.8,0.6,,,
Toby Kimball,85.7,3.4,3.2,2.5,2.0,1.2,1.2,0.4,0.2,0.0,
Frank Kaminsky,84.3,3.6,3.3,2.3,2.0,1.8,1.4,0.9,0.7,,
Cedi Osman,84.2,3.3,2.9,1.9,1.6,1.5,0.9,0.5,,,
Wally Walker,83.2,3.5,2.1,2.0,1.9,1.8,0.9,0.5,0.1,,
Mike O'Koren,82.8,4.1,3.8,2.0,1.9,1.5,1.2,0.1,-0.1,,
Derrick Williams,82.7,3.6,3.0,2.6,2.1,1.8,1.1,0.0,,,
