"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Paul Davis,,0.2,0.2,0.0,0.0
Patrick O'Bryant,70.8,0.3,0.2,0.0,0.0
Tom Riker,67.9,0.2,0.2,0.0,
Chris Engler,59.8,0.3,0.2,0.0,0.0
Greg Dreiling,51.6,0.4,0.2,0.2,0.1
Jawann Oldham,49.3,0.5,0.3,0.0,0.0
Alan Ogg,48.3,0.5,0.3,0.0,
Matt Fish,45.0,0.4,0.2,0.0,
Dwayne Schintzius,41.2,0.4,0.2,0.2,0.1
Uwe Blab,40.8,0.5,0.3,0.1,-0.1
Micah Potter,40.1,0.4,0.3,0.2,0.0
