Season,Team,Lg,Salary
2014-15,Los Angeles Lakers,NBA,"$507,336"
2015-16,Los Angeles Lakers,NBA,"$845,059"
2016-17,Los Angeles Lakers,NBA,"$12,500,000"
2017-18,Cleveland Cavaliers,NBA,"$11,562,500"
2018-19,Cleveland Cavaliers,NBA,"$12,500,000"
2019-20,Utah Jazz,NBA,"$13,437,500"
2020-21,Utah Jazz,NBA,"$11,500,000"
2021-22,Utah Jazz,NBA,"$12,420,000"
2022-23,Utah Jazz,NBA,"$13,340,000"
2023-24,Utah Jazz,NBA,"$23,487,629"
2024-25,Utah Jazz,NBA,"$14,092,577"
Career,(may be incomplete),,"$126,192,601"
