"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Darius Morris,,0.2,0.0,-0.2,-0.4
Dave Jamerson,40.2,0.2,0.1,-0.1,
Michael Hawkins,37.8,0.2,0.0,0.0,
A.J. Guyton,26.4,0.3,0.1,-0.1,
Rusty LaRue,16.1,0.3,0.1,-0.1,
Kevin Pritchard,10.7,0.2,0.2,-0.2,
Gerald Madkins,9.6,0.3,0.1,0.0,
Dominique Jones,9.3,0.2,0.0,0.0,
Randy Livingston,9.3,0.3,0.1,0.0,
Charles Bradley,6.9,0.2,0.2,-0.1,
Sedric Toney,6.2,0.3,0.0,-0.1,
