Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2013-14,25,POR,NBA,SF,2,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,36.2,36.2,0.0,0.0,0.0,7.2,0.0,0.0,0,97,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,36.2,36.2,0.0,0.0,0.0,7.2,0.0,0.0,0,97,
