"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Victor Claver,,0.2,0.1,-0.1
Jacky Dorsey,74.0,0.2,0.2,-0.1
Jackie Robinson,64.9,0.2,0.1,0.0
Mfiondu Kabengele,43.8,0.2,0.2,0.1
Alando Tucker,43.8,0.2,0.1,0.0
Doug Edwards,39.1,0.2,0.1,0.0
Luka Å amaniÄ,39.0,0.2,0.1,0.0
Braxton Key,34.5,0.2,0.2,0.0
Easy Parham,34.3,0.3,0.1,0.0
Bol Bol,32.0,0.1,0.1,0.0
David Vaughn,26.7,0.4,0.1,-0.1
