Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2013-14,25,POR,NBA,SF,2,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,25.7,25.7,0.0,0.0,0.0,5.1,0.0,0.0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,25.7,25.7,0.0,0.0,0.0,5.1,0.0,0.0,
