"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2007-08,24,HOU,NBA,SF,3.0,0.0,21.0,0.75,1.0,0.667,1.0,1.0,0.0,0.75,164.0,206.0,184.0,201.0,185.0,0.0,338.0,
,,,,,,,,,,,,,,,,,,,,,,
2010-11,27,SAS,NBA,SF,1.0,0.0,6.0,,,,,,,,,,,,,,,
2011-12,28,NYK,NBA,PF,5.0,1.0,95.0,0.444,0.0,0.571,0.667,0.667,0.0,0.778,99.0,0.0,164.0,137.0,126.0,0.0,345.0,
2012-13,29,NYK,NBA,SF,9.0,0.0,50.0,0.538,0.75,0.444,0.692,0.692,0.0,0.692,119.0,155.0,124.0,139.0,129.0,0.0,284.0,
2013-14,30,TOR,NBA,PF,4.0,0.0,15.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,385.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,22.0,1.0,187.0,0.483,0.571,0.455,0.655,0.655,0.0,0.759,106.0,118.0,128.0,133.0,123.0,0.0,321.0,
,,,,,,,,,,,,,,,,,,,,,,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,14.0,1.0,145.0,0.5,0.5,0.5,0.682,0.682,0.0,0.727,111.0,104.0,141.0,138.0,128.0,0.0,309.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,4.0,0.0,15.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,385.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,3.0,0.0,21.0,0.75,1.0,0.667,1.0,1.0,0.0,0.75,164.0,206.0,184.0,201.0,185.0,0.0,338.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,1.0,0.0,6.0,,,,,,,,,,,,,,,
