Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2007-08,24,HOU,NBA,SF,3.0,0.0,21.0,5.1,6.9,0.75,3.4,5.1,0.667,1.7,1.7,1.0,1.0,0.0,0.0,1.7,1.7,3.4,0.0,0.0,1.7,0.0,3.4,13.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,27,SAS,NBA,SF,1.0,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-12,28,NYK,NBA,PF,5.0,1.0,95.0,1.5,3.4,0.444,1.5,2.7,0.571,0.0,0.8,0.0,0.667,0.0,0.0,1.1,4.5,5.7,0.0,0.0,0.4,1.1,2.7,4.5,
2012-13,29,NYK,NBA,SF,9.0,0.0,50.0,5.0,9.4,0.538,2.9,6.5,0.444,2.2,2.9,0.75,0.692,0.0,0.0,1.4,1.4,2.9,0.0,0.7,0.0,0.0,3.6,13.0,
2013-14,30,TOR,NBA,PF,4.0,0.0,15.0,0.0,7.2,0.0,0.0,7.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.0,12.0,2.4,0.0,0.0,0.0,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,22.0,1.0,187.0,2.7,5.6,0.483,1.9,4.2,0.455,0.8,1.3,0.571,0.655,0.0,0.0,1.2,4.0,5.2,0.2,0.2,0.4,0.6,2.7,7.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,14.0,1.0,145.0,2.7,5.5,0.5,2.0,4.0,0.5,0.7,1.5,0.5,0.682,0.0,0.0,1.2,3.5,4.7,0.0,0.2,0.2,0.7,3.0,7.4,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,4.0,0.0,15.0,0.0,7.2,0.0,0.0,7.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.0,12.0,2.4,0.0,0.0,0.0,0.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,3.0,0.0,21.0,5.1,6.9,0.75,3.4,5.1,0.667,1.7,1.7,1.0,1.0,0.0,0.0,1.7,1.7,3.4,0.0,0.0,1.7,0.0,3.4,13.7,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,1.0,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,
