Season,Age,Team,Lg,Pos,G,GS,MP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2001-02,22,TOR,NBA,PF,1,0,3,11.8,0.0,39.6,20.3,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.217,-3.6,11.2,7.6,0.0,
1 Yr,1 Yr,1 Yr,1 Yr,,1,0,3,11.8,0.0,39.6,20.3,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.217,-3.6,11.2,7.6,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,246,11.8,0.0,39.6,20.3,49.1,0.0,0.0,0.0,0.7,0.4,1.1,0.217,-3.6,11.2,7.6,0.6,
