"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
De'Aaron Fox,,7.4,6.5,5.6,4.3,4.2,4.0,2.5,-0.6
Vinnie Johnson,91.0,7.7,5.9,4.8,4.7,4.2,4.1,2.7,0.2
Devin Harris,90.8,7.5,6.5,5.6,4.2,4.2,3.7,2.7,2.7
CJ McCollum,89.5,7.6,6.6,6.0,5.6,4.7,4.1,1.8,0.2
K.C. Jones,89.2,6.7,6.6,5.8,4.9,3.7,3.6,3.0,0.8
Kyle Macy,88.2,9.2,6.4,5.0,4.6,4.5,3.9,2.4,
John Lucas,87.9,7.9,5.9,5.2,4.8,4.3,3.9,1.3,0.4
Eddie Johnson,86.2,8.2,6.9,6.3,4.8,4.2,3.5,3.0,1.7
Dick McGuire,85.4,6.6,6.3,5.3,5.3,4.7,4.5,2.1,1.3
Butch Beard,85.1,7.6,5.9,5.6,4.4,3.7,2.2,2.0,1.5
Gene Shue,85.1,8.5,7.6,5.6,5.6,4.6,4.6,2.4,0.4
