"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
De'Aaron Fox,,7.4,6.5,5.6,4.3,4.2,4.0,2.5,-0.6,,
Kyle Macy,88.2,9.2,6.4,5.0,4.6,4.5,3.9,2.4,,,
Butch Beard,85.1,7.6,5.9,5.6,4.4,3.7,2.2,2.0,1.5,0.0,
Dave Twardzik,85.1,7.5,5.5,5.1,5.1,3.7,3.0,2.4,1.1,,
Johnny Moore,83.8,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,
Ronnie Brewer,83.5,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0.0,,
Bill Keller,83.3,6.1,5.4,4.4,4.1,4.0,3.6,2.7,,,
K.C. Jones,82.5,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3.0,0.8,
Kevin Porter,82.5,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2
Eddie Johnson,82.4,8.2,6.9,6.3,4.8,4.2,3.5,3.0,1.7,1.5,0.8
George King,82.4,8.1,6.4,6.3,3.8,3.8,3.0,,,,
