"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')"
Damian Lillard,,12.6,12.1,11.6,10.6,10.4,10.4,9.6,9.2,9.0,7.7,7.6,5.8,1.7,,,,,
George Gervin,93.4,12.0,11.4,10.7,10.6,10.5,10.5,10.0,9.4,9.3,7.3,5.5,4.6,3.0,1.6,,,,
Steve Nash,93.3,12.6,12.4,11.6,10.9,10.5,9.9,9.9,8.8,8.4,7.9,7.3,5.9,4.8,4.3,3.0,1.0,0.7,0.1
Chauncey Billups,87.0,15.5,13.5,12.1,11.4,11.3,10.1,9.9,9.5,8.0,7.6,3.7,3.0,2.3,1.7,1.3,0.1,-0.3,
Jeff Hornacek,86.1,11.6,10.2,10.2,10.1,9.7,9.5,8.7,7.7,6.9,6.5,6.3,5.3,5.0,1.2,,,,
Gary Payton,85.9,13.9,12.9,12.6,12.5,11.7,11.5,10.8,9.3,9.1,8.1,7.8,7.2,5.4,4.1,3.9,3.4,1.3,
Ray Allen,85.6,13.7,11.1,10.7,10.1,10.0,9.7,9.5,9.1,8.9,7.9,7.0,6.9,6.3,5.4,5.2,4.9,4.7,4.1
Clyde Drexler,85.3,13.2,12.8,12.6,12.4,11.7,11.6,10.3,8.1,7.5,6.8,6.8,6.7,6.7,6.0,2.4,,,
Russell Westbrook,83.7,14.0,13.1,11.6,10.6,10.1,9.4,7.9,6.8,6.1,5.2,4.2,3.7,2.1,1.9,1.9,1.9,1.7,
Allen Iverson,82.5,11.8,11.6,10.6,9.2,9.0,9.0,7.2,6.9,6.9,6.2,4.1,2.9,2.8,0.7,,,,
Eddie Jones,80.6,10.5,10.1,10.1,9.6,9.1,8.0,7.9,7.2,6.8,6.0,6.0,5.0,3.1,1.1,,,,
