"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2012-13,25,MIL,NBA,C,4.0,0.0,54.0,0.444,0.444,0.444,,0.444,0.0,0.0,98.0,92.0,90.0,,83.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2014-15,27,LAC,NBA,PF,4.0,0.0,12.0,0.333,0.333,0.333,,0.333,0.0,0.0,74.0,69.0,67.0,,62.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2017-18,30,UTA,NBA,C,6.0,0.0,21.0,1.0,1.0,1.0,0.0,0.362,4.0,0.0,217.0,196.0,192.0,0.0,65.0,1588.0,0.0,
2018-19,31,UTA,NBA,C,2.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,16.0,0.0,93.0,0.429,0.429,0.429,0.0,0.381,0.286,0.0,94.0,88.0,86.0,0.0,71.0,113.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),,8.0,0.0,27.0,0.5,0.5,0.5,0.0,0.266,2.0,0.0,109.0,98.0,96.0,0.0,48.0,794.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,4.0,0.0,12.0,0.333,0.333,0.333,,0.333,0.0,0.0,74.0,69.0,67.0,,62.0,0.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,4.0,0.0,54.0,0.444,0.444,0.444,,0.444,0.0,0.0,98.0,92.0,90.0,,83.0,0.0,0.0,
