Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2012-13,25,MIL,NBA,C,4.0,0.0,54.0,4.0,9.0,0.444,0.0,0.0,4.0,9.0,0.444,0.444,0.0,0.0,,3.0,3.0,6.0,1.0,2.0,2.0,0.0,4.0,8.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,27,LAC,NBA,PF,4.0,0.0,12.0,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,30,UTA,NBA,C,6.0,0.0,21.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,
2018-19,31,UTA,NBA,C,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,16.0,0.0,93.0,6.0,14.0,0.429,0.0,0.0,6.0,14.0,0.429,0.429,0.0,4.0,0.0,4.0,8.0,12.0,1.0,2.0,4.0,1.0,9.0,12.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,477.0,31.0,72.0,0.429,0.0,0.0,31.0,72.0,0.429,0.429,0.0,21.0,0.0,21.0,41.0,62.0,5.0,10.0,21.0,5.0,46.0,62.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),,8.0,0.0,27.0,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,4.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,4.0,0.0,12.0,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,4.0,0.0,54.0,4.0,9.0,0.444,0.0,0.0,4.0,9.0,0.444,0.444,0.0,0.0,,3.0,3.0,6.0,1.0,2.0,2.0,0.0,4.0,8.0,0.0,
