Season,Team,Lg,Salary
2000-01,Seattle SuperSonics,NBA,"$1,074,720"
2001-02,Seattle SuperSonics,NBA,"$1,155,240"
2002-03,Seattle SuperSonics,NBA,"$1,235,880"
2003-04,Milwaukee Bucks,NBA,"$1,898,312"
2004-05,Milwaukee Bucks,NBA,"$6,529,630"
2005-06,New Orleans/Oklahoma City Hornets,NBA,"$7,333,333"
2006-07,New Orleans/Oklahoma City Hornets,NBA,"$8,037,037"
2007-08,Milwaukee Bucks,NBA,"$5,000,000"
2008-09,Oklahoma City Thunder,NBA,"$5,300,000"
2009-10,Sacramento Kings,NBA,"$76,850"
Career,(may be incomplete),,"$37,641,002"
