"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 24_level_0', 'Awards')"
2000-01,19,SEA,NBA,C,30.0,1.0,221.0,0.486,0.486,0.486,0.75,0.532,0.324,0.0,110.0,106.0,103.0,100.0,103.0,105.0,0.0,1.0,1.2,
2001-02,20,SEA,NBA,C,36.0,1.0,221.0,0.537,0.537,0.537,0.611,0.562,0.439,0.0,121.0,115.0,112.0,81.0,108.0,150.0,0.0,4.9,4.1,
2002-03,21,ORL,NBA,C,27.0,3.0,145.0,0.435,0.435,0.435,0.636,0.485,0.478,0.0,98.0,94.0,92.0,84.0,93.0,158.0,0.0,-1.8,-1.9,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,93.0,5.0,587.0,0.495,0.495,0.495,0.659,0.533,0.406,0.0,112.0,107.0,104.0,88.0,103.0,135.0,0.0,4.1,3.4,
,,,,,,,,,,,,,,,,,,,,,,,,
SEA (2 Yrs),SEA (2 Yrs),SEA (2 Yrs),SEA (2 Yrs),,66.0,2.0,442.0,0.513,0.513,0.513,0.667,0.548,0.385,0.0,116.0,111.0,108.0,89.0,106.0,129.0,0.0,5.9,5.3,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,27.0,3.0,145.0,0.435,0.435,0.435,0.636,0.485,0.478,0.0,98.0,94.0,92.0,84.0,93.0,158.0,0.0,-1.8,-1.9,
