"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2004-05,22,CHI,NBA,C,6.0,0.0,172.0,0.475,2.7,1.0,0.7,0.25,0.025,0.025,0.0,0.475,0.607,0.2,0.0,0.0,0.474,0.125,5.0,0.0,0.0,
2005-06,23,CHI,NBA,C,6.0,0.0,104.0,0.667,3.5,1.0,0.667,0.167,0.167,0.0,0.0,0.667,0.75,1.0,0.0,,0.25,0.167,1.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,25,NOH,NBA,C,12.0,12.0,412.0,0.632,1.0,1.0,0.897,0.088,0.015,0.0,0.0,0.632,0.672,0.333,0.0,,0.698,0.441,29.0,0.0,0.0,
2008-09,26,NOH,NBA,C,4.0,4.0,94.0,0.5,1.1,1.0,0.833,0.167,0.0,0.0,0.0,0.5,0.6,0.0,,,1.0,0.417,5.0,0.0,0.0,
2009-10,27,CHA,NBA,C,4.0,0.0,60.0,0.545,3.1,1.0,0.727,0.182,0.0,0.091,0.0,0.545,0.75,0.0,,0.0,0.833,0.273,3.0,0.0,0.0,
2010-11,28,DAL,NBA,C,21.0,21.0,680.0,0.582,2.7,1.0,0.786,0.153,0.01,0.051,0.0,0.582,0.662,0.4,0.0,0.0,0.754,0.296,27.0,0.0,0.0,
2011-12,29,NYK,NBA,C,5.0,5.0,167.0,0.44,2.1,1.0,0.84,0.16,0.0,0.0,0.0,0.44,0.524,0.0,,,0.636,0.24,5.0,0.0,0.0,
2012-13,30,NYK,NBA,C,12.0,12.0,350.0,0.538,1.7,1.0,0.962,0.019,0.0,0.019,0.0,0.538,0.54,0.0,,1.0,0.786,0.385,19.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,32,DAL,NBA,C,5.0,5.0,160.0,0.655,1.0,1.0,0.966,0.0,0.034,0.0,0.0,0.655,0.679,,0.0,,0.526,0.517,14.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,37,HOU,NBA,C,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,76.0,59.0,2199.0,0.566,2.1,1.0,0.842,0.12,0.015,0.023,0.0,0.566,0.631,0.268,0.0,0.125,0.689,0.334,108.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,64.0,2373.0,0.566,,1.0,0.842,0.12,0.015,0.023,0.0,0.566,0.631,0.268,0.0,0.125,0.689,0.334,117.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,26.0,26.0,840.0,0.598,1.8,1.0,0.827,0.118,0.016,0.039,0.0,0.598,0.667,0.4,0.0,0.0,0.697,0.346,41.0,0.0,0.0,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,17.0,17.0,517.0,0.506,1.9,1.0,0.922,0.065,0.0,0.013,0.0,0.506,0.535,0.0,,1.0,0.744,0.338,24.0,0.0,0.0,
NOH (2 Yrs),NOH (2 Yrs),NOH (2 Yrs),NOH (2 Yrs),,16.0,16.0,506.0,0.613,1.0,1.0,0.888,0.1,0.013,0.0,0.0,0.613,0.662,0.25,0.0,,0.735,0.438,34.0,0.0,0.0,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,12.0,0.0,276.0,0.5,3.1,1.0,0.696,0.239,0.043,0.022,0.0,0.5,0.625,0.273,0.0,0.0,0.435,0.13,6.0,0.0,0.0,
CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),,4.0,0.0,60.0,0.545,3.1,1.0,0.727,0.182,0.0,0.091,0.0,0.545,0.75,0.0,,0.0,0.833,0.273,3.0,0.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,1.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
