"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2004-05,22,CHI,NBA,EC1,WAS,L (2-4),6.0,29.0,11.7,9.7,1.3,0.2,2.2,19.0,40.0,0.475,0.0,0.0,19.0,40.0,0.475,0.475,32.0,46.0,0.696,29.0,29.0,58.0,8.0,1.0,13.0,8.0,27.0,70.0,
2005-06,23,CHI,NBA,EC1,MIA,L (2-4),6.0,17.3,1.8,4.5,0.5,0.3,0.3,4.0,6.0,0.667,0.0,0.0,4.0,6.0,0.667,0.667,3.0,10.0,0.3,8.0,19.0,27.0,3.0,2.0,2.0,6.0,29.0,11.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,25,NOH,NBA,WC1,DAL,W (4-1),5.0,35.0,7.2,11.2,0.2,0.2,1.4,17.0,33.0,0.515,0.0,0.0,17.0,33.0,0.515,0.515,2.0,2.0,1.0,23.0,33.0,56.0,1.0,1.0,7.0,6.0,19.0,36.0,
2007-08,25,NOH,NBA,WCS,SAS,L (3-4),7.0,33.7,8.6,9.6,0.6,0.6,1.9,26.0,35.0,0.743,0.0,0.0,26.0,35.0,0.743,0.743,8.0,14.0,0.571,22.0,45.0,67.0,4.0,4.0,13.0,4.0,24.0,60.0,
2008-09,26,NOH,NBA,WC1,DEN,L (1-4),4.0,23.5,3.8,5.3,0.5,0.5,0.3,6.0,12.0,0.5,0.0,0.0,6.0,12.0,0.5,0.5,3.0,6.0,0.5,8.0,13.0,21.0,2.0,2.0,1.0,8.0,17.0,15.0,
2009-10,27,CHA,NBA,EC1,ORL,L (0-4),4.0,15.0,3.5,2.5,0.5,0.5,0.8,6.0,11.0,0.545,0.0,0.0,6.0,11.0,0.545,0.545,2.0,3.0,0.667,3.0,7.0,10.0,2.0,2.0,3.0,4.0,16.0,14.0,
2010-11,28,DAL,NBA,WC1,POR,W (4-2),6.0,28.8,6.5,9.5,0.3,0.2,0.5,13.0,23.0,0.565,0.0,0.0,13.0,23.0,0.565,0.565,13.0,20.0,0.65,30.0,27.0,57.0,2.0,1.0,3.0,6.0,22.0,39.0,
2010-11,28,DAL,NBA,WCS,LAL,W (4-0),4.0,31.3,7.5,7.5,0.3,0.3,1.0,11.0,17.0,0.647,0.0,0.0,11.0,17.0,0.647,0.647,8.0,10.0,0.8,6.0,24.0,30.0,1.0,1.0,4.0,1.0,11.0,30.0,
2010-11,28,DAL,NBA,WCF,OKC,W (4-1),5.0,31.8,8.0,10.6,0.2,0.8,1.0,14.0,26.0,0.538,0.0,0.0,14.0,26.0,0.538,0.538,12.0,16.0,0.75,19.0,34.0,53.0,1.0,4.0,5.0,4.0,20.0,40.0,
2010-11,28,DAL,NBA,FIN,MIA,W (4-2),6.0,37.3,9.7,8.8,0.7,1.2,1.2,19.0,32.0,0.594,0.0,0.0,19.0,32.0,0.594,0.594,20.0,32.0,0.625,24.0,29.0,53.0,4.0,7.0,7.0,3.0,24.0,58.0,
2011-12,29,NYK,NBA,EC1,MIA,L (1-4),5.0,33.4,6.2,9.0,0.8,1.4,1.4,11.0,25.0,0.44,0.0,0.0,11.0,25.0,0.44,0.44,9.0,15.0,0.6,18.0,27.0,45.0,4.0,7.0,7.0,15.0,18.0,31.0,
2012-13,30,NYK,NBA,EC1,BOS,W (4-2),6.0,28.5,5.2,8.7,0.5,0.8,0.7,13.0,24.0,0.542,0.0,0.0,13.0,24.0,0.542,0.542,5.0,7.0,0.714,21.0,31.0,52.0,3.0,5.0,4.0,6.0,19.0,31.0,
2012-13,30,NYK,NBA,ECS,IND,L (2-4),6.0,29.8,6.2,6.0,0.2,0.5,1.7,15.0,28.0,0.536,0.0,0.0,15.0,28.0,0.536,0.536,7.0,9.0,0.778,19.0,17.0,36.0,1.0,3.0,10.0,5.0,29.0,37.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,32,DAL,NBA,WC1,HOU,L (1-4),5.0,32.0,10.2,10.8,0.2,0.6,1.2,19.0,29.0,0.655,0.0,0.0,19.0,29.0,0.655,0.655,13.0,26.0,0.5,27.0,27.0,54.0,1.0,3.0,6.0,5.0,16.0,51.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,37,HOU,NBA,WC1,OKC,W (4-3),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10 Yrs (15 Series),10 Yrs (15 Series),10 Yrs (15 Series),10 Yrs (15 Series),10 Yrs (15 Series),10 Yrs (15 Series),7-8,76.0,29.0,6.9,8.1,0.5,0.6,1.1,193.0,341.0,0.566,0.0,0.0,193.0,341.0,0.566,0.566,137.0,218.0,0.628,257.0,362.0,619.0,37.0,43.0,85.0,81.0,291.0,523.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (5 Series),WC1 (5 Series),WC1 (5 Series),WC1 (5 Series),WC1 (5 Series),WC1 (5 Series),3-2,21.0,28.7,6.7,9.0,0.3,0.3,0.8,55.0,97.0,0.567,0.0,0.0,55.0,97.0,0.567,0.567,31.0,56.0,0.554,88.0,100.0,188.0,6.0,7.0,17.0,25.0,74.0,141.0,
