"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2004-05,22,CHI,NBA,C,6.0,0.0,172.0,0.475,0.475,0.475,0.696,0.581,1.15,0.0,106.0,101.0,98.0,92.0,110.0,355.0,0.0,
2005-06,23,CHI,NBA,C,6.0,0.0,104.0,0.667,0.667,0.667,0.3,0.529,1.667,0.0,147.0,139.0,136.0,40.0,99.0,501.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2007-08,25,NOH,NBA,C,12.0,12.0,412.0,0.632,0.632,0.632,0.625,0.64,0.235,0.0,138.0,131.0,127.0,83.0,118.0,77.0,0.0,
2008-09,26,NOH,NBA,C,4.0,4.0,94.0,0.5,0.5,0.5,0.5,0.512,0.5,0.0,109.0,103.0,100.0,65.0,94.0,164.0,0.0,
2009-10,27,CHA,NBA,C,4.0,0.0,60.0,0.545,0.545,0.545,0.667,0.568,0.273,0.0,118.0,111.0,109.0,88.0,105.0,91.0,0.0,
2010-11,28,DAL,NBA,C,21.0,21.0,680.0,0.582,0.582,0.582,0.679,0.631,0.796,0.0,127.0,119.0,117.0,89.0,117.0,265.0,0.0,
2011-12,29,NYK,NBA,C,5.0,5.0,167.0,0.44,0.44,0.44,0.6,0.491,0.6,0.0,98.0,92.0,90.0,80.0,93.0,218.0,0.0,
2012-13,30,NYK,NBA,C,12.0,12.0,350.0,0.538,0.538,0.538,0.75,0.576,0.308,0.0,119.0,111.0,108.0,100.0,108.0,114.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2014-15,32,DAL,NBA,C,5.0,5.0,160.0,0.655,0.655,0.655,0.5,0.631,0.897,0.0,146.0,135.0,132.0,67.0,118.0,328.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2019-20,37,HOU,NBA,C,1.0,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,76.0,59.0,2199.0,0.566,0.566,0.566,0.628,0.599,0.639,0.0,124.0,117.0,114.0,83.0,111.0,212.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,26.0,26.0,840.0,0.598,0.598,0.598,0.635,0.631,0.819,0.0,132.0,123.0,120.0,83.0,117.0,280.0,0.0,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,17.0,17.0,517.0,0.506,0.506,0.506,0.677,0.546,0.403,0.0,112.0,105.0,103.0,90.0,103.0,147.0,0.0,
NOH (2 Yrs),NOH (2 Yrs),NOH (2 Yrs),NOH (2 Yrs),,16.0,16.0,506.0,0.613,0.613,0.613,0.591,0.619,0.275,0.0,134.0,126.0,123.0,78.0,114.0,90.0,0.0,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,12.0,0.0,276.0,0.5,0.5,0.5,0.625,0.573,1.217,0.0,111.0,106.0,103.0,83.0,108.0,374.0,0.0,
CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),,4.0,0.0,60.0,0.545,0.545,0.545,0.667,0.568,0.273,0.0,118.0,111.0,109.0,88.0,105.0,91.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,1.0,0.0,0.0,,,,0.0,0.0,,,,,,0.0,0.0,,,
