Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2004-05,22,CHI,NBA,C,6.0,0.0,172.0,5.5,11.6,0.475,0.0,0.0,5.5,11.6,0.475,0.475,9.3,13.3,0.696,8.4,8.4,16.8,2.3,0.3,3.8,2.3,7.8,20.3,125.0,106.0,
2005-06,23,CHI,NBA,C,6.0,0.0,104.0,2.0,2.9,0.667,0.0,0.0,2.0,2.9,0.667,0.667,1.5,4.9,0.3,3.9,9.3,13.2,1.5,1.0,1.0,2.9,14.2,5.4,90.0,105.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,25,NOH,NBA,C,12.0,12.0,412.0,5.8,9.1,0.632,0.0,0.0,5.8,9.1,0.632,0.632,1.3,2.2,0.625,6.1,10.5,16.5,0.7,0.7,2.7,1.3,5.8,12.9,131.0,105.0,
2008-09,26,NOH,NBA,C,4.0,4.0,94.0,3.4,6.8,0.5,0.0,0.0,3.4,6.8,0.5,0.5,1.7,3.4,0.5,4.5,7.4,11.9,1.1,1.1,0.6,4.5,9.7,8.5,81.0,120.0,
2009-10,27,CHA,NBA,C,4.0,0.0,60.0,5.6,10.3,0.545,0.0,0.0,5.6,10.3,0.545,0.545,1.9,2.8,0.667,2.8,6.6,9.4,1.9,1.9,2.8,3.7,15.0,13.1,93.0,107.0,
2010-11,28,DAL,NBA,C,21.0,21.0,680.0,4.6,8.0,0.582,0.0,0.0,4.6,8.0,0.582,0.582,4.3,6.4,0.679,6.4,9.3,15.7,0.7,1.1,1.5,1.1,6.3,13.6,137.0,105.0,
2011-12,29,NYK,NBA,C,5.0,5.0,167.0,3.6,8.3,0.44,0.0,0.0,3.6,8.3,0.44,0.44,3.0,5.0,0.6,6.0,8.9,14.9,1.3,2.3,2.3,5.0,6.0,10.2,84.0,106.0,
2012-13,30,NYK,NBA,C,12.0,12.0,350.0,4.4,8.2,0.538,0.0,0.0,4.4,8.2,0.538,0.538,1.9,2.5,0.75,6.3,7.6,13.9,0.6,1.3,2.2,1.7,7.6,10.8,119.0,98.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,32,DAL,NBA,C,5.0,5.0,160.0,5.6,8.5,0.655,0.0,0.0,5.6,8.5,0.655,0.655,3.8,7.7,0.5,7.9,7.9,15.9,0.3,0.9,1.8,1.5,4.7,15.0,131.0,111.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,37,HOU,NBA,C,1.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,76.0,59.0,2199.0,4.7,8.4,0.566,0.0,0.0,4.7,8.4,0.566,0.566,3.4,5.3,0.628,6.3,8.9,15.2,0.9,1.1,2.1,2.0,7.1,12.8,121.0,105.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),DAL (2 Yrs),,26.0,26.0,840.0,4.9,8.1,0.598,0.0,0.0,4.9,8.1,0.598,0.598,4.2,6.6,0.635,6.8,9.0,15.8,0.6,1.0,1.6,1.2,5.9,13.9,135.0,106.0,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,17.0,17.0,517.0,4.2,8.2,0.506,0.0,0.0,4.2,8.2,0.506,0.506,2.2,3.3,0.677,6.2,8.0,14.2,0.9,1.6,2.2,2.8,7.1,10.6,105.0,101.0,
NOH (2 Yrs),NOH (2 Yrs),NOH (2 Yrs),NOH (2 Yrs),,16.0,16.0,506.0,5.3,8.7,0.613,0.0,0.0,5.3,8.7,0.613,0.613,1.4,2.4,0.591,5.8,9.9,15.7,0.8,0.8,2.3,2.0,6.5,12.1,120.0,108.0,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,12.0,0.0,276.0,4.2,8.4,0.5,0.0,0.0,4.2,8.4,0.5,0.5,6.4,10.2,0.625,6.7,8.7,15.5,2.0,0.5,2.7,2.5,10.2,14.7,118.0,106.0,
CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),CHA (1 Yr),,4.0,0.0,60.0,5.6,10.3,0.545,0.0,0.0,5.6,10.3,0.545,0.545,1.9,2.8,0.667,2.8,6.6,9.4,1.9,1.9,2.8,3.7,15.0,13.1,93.0,107.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,1.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,
