"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Å½arko Äabarkapa,,1.3,0.3,-0.4
Steve Mix,84.7,1.3,0.4,-0.3
Jeff Taylor,81.9,1.2,0.3,-0.2
Joe Ellis,81.8,1.3,0.4,-0.3
Tony Campbell,72.8,1.4,0.4,-0.3
Kris Humphries,68.6,1.5,0.2,-0.3
Monty Williams,66.2,1.2,0.3,-0.1
Roy Rogers,65.6,1.4,0.4,-0.1
Gary Gregor,63.5,1.1,0.5,-0.4
Tom Workman,63.5,1.3,0.4,0.1
Cam Reddish,61.9,1.0,0.4,-0.4
