"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2005-06,23,CLE,NBA,C,13.0,0.0,238.0,0.62,2.7,1.0,0.76,0.16,0.0,0.08,0.0,0.62,0.711,0.375,,0.25,,0.71,0.08,4.0,,0.0,0.0,
2006-07,24,CLE,NBA,C,20.0,0.0,447.0,0.511,6.7,0.956,0.633,0.211,0.056,0.056,0.044,0.535,0.561,0.526,0.6,0.2,0.0,0.652,0.089,7.0,0.0,4.0,0.0,
2007-08,25,CLE,NBA,C,13.0,0.0,240.0,0.407,6.5,1.0,0.556,0.093,0.204,0.148,0.0,0.407,0.467,0.2,0.364,0.375,,0.727,0.019,1.0,,0.0,0.0,
2008-09,26,CLE,NBA,PF,14.0,14.0,420.0,0.5,5.0,1.0,0.622,0.171,0.073,0.134,0.0,0.5,0.647,0.357,0.0,0.273,,0.78,0.073,4.0,,0.0,0.0,
2009-10,27,CLE,NBA,PF,11.0,0.0,255.0,0.417,4.6,0.979,0.646,0.167,0.104,0.063,0.021,0.426,0.516,0.25,0.2,0.333,0.0,0.85,0.083,3.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,33,GSW,NBA,C,17.0,0.0,93.0,0.357,7.3,1.0,0.429,0.286,0.143,0.143,0.0,0.357,0.667,0.0,0.5,0.0,,0.4,0.071,1.0,,0.0,0.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,88.0,14.0,1693.0,0.488,5.5,0.985,0.63,0.172,0.086,0.098,0.015,0.495,0.592,0.362,0.31,0.273,0.0,0.721,0.071,20.0,0.0,4.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,13.0,1578.0,0.488,5.5,0.985,0.63,0.172,0.086,0.098,0.015,0.495,0.592,0.362,0.31,0.273,0.0,0.721,0.071,19.0,0.0,4.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (5 Yrs),CLE (5 Yrs),CLE (5 Yrs),CLE (5 Yrs),,71.0,14.0,1600.0,0.494,5.1,0.985,0.639,0.167,0.083,0.096,0.015,0.502,0.589,0.389,0.296,0.29,0.0,0.731,0.071,19.0,0.0,4.0,0.0,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,17.0,0.0,93.0,0.357,7.3,1.0,0.429,0.286,0.143,0.143,0.0,0.357,0.667,0.0,0.5,0.0,,0.4,0.071,1.0,,0.0,0.0,
