"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Michael Carter-Williams,,1.9,1.3,1.2,0.9,0.8,0.8,0.2,0.0,-0.5
John Wetzel,77.9,2.0,1.5,1.1,0.7,0.5,0.5,0.4,,
David Nwaba,76.4,2.4,1.4,1.3,1.3,0.8,0.8,,,
Tony Smith,76.1,1.7,1.5,1.3,1.3,0.6,0.5,0.1,-0.1,-0.2
Rex Walters,75.5,1.6,1.6,1.2,0.9,0.5,0.4,0.3,,
Talen Horton-Tucker,74.3,2.1,1.1,1.1,0.8,0.8,0.1,,,
Dion Waiters,72.0,2.1,1.6,1.6,1.2,1.1,0.9,0.1,0.1,
Jon Sundvold,70.8,3.0,1.5,1.2,1.0,1.0,0.8,0.2,0.2,0.0
Todd Lichti,70.4,1.8,1.3,1.2,1.0,0.2,,,,
Sterling Brown,69.5,2.1,1.8,1.1,0.8,0.7,0.0,,,
Rodney McGruder,69.1,2.9,1.9,1.2,1.0,0.8,0.7,0.5,,
