"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jason Collier,,1.2,0.4,0.3,0.0,0.0
Bernard James,86.5,1.2,0.5,0.1,,
Olivier Sarr,84.1,1.0,0.4,0.2,,
Keith Closs,79.1,1.1,0.6,0.2,,
P̩tur Gu̡mundsson,76.0,1.4,0.6,0.3,-0.1,
Chris Johnson,75.7,1.0,0.2,0.2,,
Daniel Santiago,75.2,1.2,0.6,0.0,0.0,
Granville Waiters,73.9,1.3,0.5,0.2,0.0,-0.2
Udoka Azubuike,71.6,1.0,0.6,0.2,0.1,
Robert Sacre,67.9,1.4,0.8,0.3,-0.1,
Rich Johnson,65.4,1.2,0.9,0.1,,
