"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Nic Claxton,,9.2,6.7,4.3,3.5,1.9,0.5
Mike Gminski,92.3,9.2,6.1,4.3,4.0,1.8,1.5
Tom Boerwinkle,92.1,9.0,7.4,4.4,2.6,1.7,0.5
Marcus Camby,88.1,10.3,5.9,3.7,3.5,2.1,0.9
Bill Walton,86.9,10.2,8.4,3.8,3.6,2.0,0.8
Elmore Smith,85.5,8.7,5.9,4.7,3.9,2.9,1.5
Andris BiedriÅÅ¡,85.2,8.0,6.7,5.4,2.9,1.6,1.2
Zydrunas Ilgauskas,85.2,9.4,7.8,5.0,2.5,0.7,0.5
Mike Lewis,84.5,7.9,7.5,4.0,3.8,1.1,0.0
Jamaal Magloire,83.4,7.6,6.7,5.7,2.6,2.0,0.3
Rik Smits,83.4,7.8,6.6,4.3,3.4,2.9,2.7
