"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Ousmane Dieng,,0.9,0.4,0.4,
Jerrod Mustaf,94.5,0.8,0.5,0.4,0.0
Jamal Cain,93.9,0.8,0.5,0.4,
Josh Minott,91.3,0.9,0.4,0.3,
Jackie Moore,89.1,0.9,0.5,0.3,
Nathan Knight,81.8,1.0,0.7,0.4,
Tyler Cook,79.6,0.8,0.5,0.2,
Cal Bowdler,78.8,1.0,0.5,0.2,
Obinna Ekezie,78.3,0.7,0.5,0.4,0.2
Bob Peterson,77.5,0.9,0.4,0.2,
Ansu Sesay,76.8,0.8,0.5,0.2,-0.1
