"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Josh Smith,,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0.0,0.0
Udonis Haslem,92.4,9.2,7.0,6.0,5.7,5.1,4.8,3.5,3.2,2.5,1.4,1.1,0.9,0.4
Ryan Anderson,92.1,8.9,6.5,6.4,5.2,4.8,3.9,3.5,3.1,2.5,2.3,0.0,-0.2,
Orlando Woolridge,91.0,9.0,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8
Luis Scola,90.5,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,0.8,,,
Danny Manning,89.8,9.8,7.9,6.5,5.3,5.2,5.2,3.5,3.4,2.6,2.6,1.0,0.7,0.4
Jeff Foster,89.4,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3.0,2.7,1.6,0.6,0.4,0.4
Tyrone Hill,89.2,9.9,6.9,5.7,5.7,5.5,4.9,4.8,4.5,2.2,2.1,1.9,1.4,0.6
James Posey,89.1,10.0,6.2,5.4,5.2,4.3,4.2,4.2,3.8,2.7,2.4,2.3,1.0,
Scott Wedman,89.1,8.6,7.8,7.1,6.0,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2,-0.1
Brian Grant,88.9,8.7,7.7,6.3,5.9,5.3,4.9,4.8,4.7,3.5,1.6,1.0,0.2,
