"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Terrence Jones,,7.3,3.0,2.3,1.5,0.7,-0.1
Paul Silas,82.3,6.9,3.3,3.3,1.8,1.2,0.5
Larry Krystkowiak,81.5,6.3,2.6,2.1,1.8,1.4,0.1
Jim Baechtold,81.3,6.0,3.2,2.6,2.1,0.9,
Monk Meineke,81.2,6.1,3.7,2.6,1.8,0.7,
Travis Outlaw,80.6,5.3,3.2,2.3,1.4,0.9,0.0
Kevon Looney,79.4,6.0,3.4,2.8,1.4,0.1,0.0
Jason Maxiell,78.9,6.3,4.1,2.6,1.8,0.5,-0.2
Ben Warley,78.8,6.3,3.8,1.7,1.5,0.6,0.5
Tyler Zeller,78.0,6.5,2.9,2.6,2.0,1.7,1.0
Al Harrington,77.7,5.9,3.9,2.6,1.2,1.0,-0.2
