Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,28.0,ORL,NBA,C,1,0,11:38,2,2,1.0,0,0,,0,0,,2,5,2,1,0,0,0,4
2020-21,30.0,ORL,NBA,C,1,0,13:00,2,6,0.333,1,5,0.2,0,0,,0,7,1,1,0,0,0,5
Career,,,NBA,,2,0,25,4,8,0.5,1,5,0.2,0,0,,2,12,3,2,0,0,0,9
