"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Kendrick Perkins,,6.2,5.6,5.2,2.5,2.3,2.0,1.4,1.0,0.8,0.7,0.1,0.1,0.0,-0.1
Scot Pollard,89.2,6.8,5.4,5.1,2.1,1.9,1.4,1.1,1.0,0.9,0.6,0.2,,,
Connie Simmons,88.1,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.3,0.1,,,,
Gorgui Dieng,83.1,5.9,5.7,4.9,2.9,2.9,2.8,2.2,2.1,1.2,0.0,,,,
Andris BiedriÅÅ¡,81.3,8.0,6.7,5.4,2.9,2.6,1.6,1.3,1.2,1.1,0.0,,,,
Sam Bowie,79.9,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1,,,,
Jusuf NurkiÄ,79.9,7.8,5.8,4.7,3.6,2.7,2.4,2.0,1.6,1.5,0.9,0.4,,,
Jamaal Magloire,79.6,7.6,6.7,5.7,2.6,2.0,1.3,1.1,0.6,0.6,0.3,-0.2,-0.6,,
Joel Przybilla,79.3,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1,0.0,
Richaun Holmes,79.0,6.1,4.9,4.3,3.8,3.2,2.8,2.0,1.5,1.3,0.8,,,,
Matt Geiger,78.9,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,,,,
