Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2008-09,23,DEN,NBA,C,10.0,0.0,26.0,2.8,12.5,0.222,0.0,0.0,2.8,12.5,0.222,0.222,6.9,11.1,0.625,2.8,5.5,8.3,1.4,0.0,1.4,1.4,5.5,12.5,
2009-10,24,DEN,NBA,C,6.0,1.0,45.0,4.8,8.8,0.545,0.0,0.0,4.8,8.8,0.545,0.545,0.8,1.6,0.5,1.6,7.2,8.8,0.8,0.8,2.4,2.4,10.4,10.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,27,ATL,NBA,C,6.0,4.0,101.0,5.0,9.6,0.519,0.0,0.0,5.0,9.6,0.519,0.519,0.4,0.7,0.5,1.4,6.4,7.8,1.4,0.4,1.4,1.1,6.4,10.3,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,22.0,5.0,172.0,4.6,9.8,0.468,0.0,0.0,4.6,9.8,0.468,0.468,1.5,2.5,0.583,1.7,6.5,8.2,1.3,0.4,1.7,1.5,7.3,10.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEN (2 Yrs),DEN (2 Yrs),DEN (2 Yrs),DEN (2 Yrs),,16.0,1.0,71.0,4.1,10.1,0.4,0.0,0.0,4.1,10.1,0.4,0.4,3.0,5.1,0.6,2.0,6.6,8.6,1.0,0.5,2.0,2.0,8.6,11.2,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,6.0,4.0,101.0,5.0,9.6,0.519,0.0,0.0,5.0,9.6,0.519,0.519,0.4,0.7,0.5,1.4,6.4,7.8,1.4,0.4,1.4,1.1,6.4,10.3,
