"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Frank Williams,,0.3,-0.1,-0.2
Jared Harper,8.5,0.4,0.0,-0.1
Ron Baker,2.5,0.5,-0.1,-0.1
Sean Higgins,2.2,0.4,0.0,-0.1
Xavier Moon,-5.4,0.3,0.0,-0.1
Michael Wilson,-5.9,0.4,-0.1,-0.1
Andre Barrett,-16.2,0.4,0.0,-0.1
Rich Rinaldi,-18.8,0.4,0.0,-0.2
Michael Phelps,-21.7,0.3,0.1,-0.1
Troy Hudson,-25.6,0.5,0.0,-0.2
Joe Young,-26.2,0.5,-0.1,-0.1
