"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2001-02,20,BOS,NBA,SF,29.0,5.0,245.0,0.0,20.0,80.0,0.0,0.0,-0.6,-3.1,1.0,4.0,6.0,1.0,7.0,39.0,0.0,3.0,
2002-03,21,BOS,NBA,SF,51.0,5.0,666.0,0.0,40.0,60.0,0.0,0.0,-4.5,-5.0,12.0,6.0,22.0,2.0,12.0,48.0,0.0,9.0,
2003-04,22,2TM,NBA,SF,55.0,26.0,969.0,0.0,36.0,62.0,1.0,0.0,3.0,6.0,16.0,7.0,37.0,3.0,14.0,137.0,5.0,11.0,
2003-04,22,BOS,NBA,SF,21.0,10.0,408.0,0.0,15.0,85.0,0.0,0.0,7.6,10.0,6.0,3.0,15.0,2.0,7.0,57.0,3.0,5.0,
2003-04,22,CLE,NBA,SF,34.0,16.0,561.0,0.0,52.0,46.0,2.0,0.0,-0.4,3.1,10.0,4.0,22.0,1.0,7.0,80.0,2.0,6.0,
2004-05,23,PHI,NBA,SF,8.0,0.0,55.0,0.0,0.0,100.0,0.0,0.0,-24.8,-24.3,4.0,1.0,2.0,0.0,1.0,8.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,143.0,36.0,1935.0,0.0,35.0,65.0,1.0,0.0,-0.8,0.2,33.0,18.0,67.0,6.0,34.0,232.0,5.0,23.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,21.0,1110.0,0.0,35.0,65.0,1.0,0.0,-0.8,0.2,19.0,10.0,38.0,3.0,19.0,133.0,3.0,13.0,
,,,,,,,,,,,,,,,,,,,,,,,
BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),BOS (3 Yrs),,101.0,20.0,1319.0,0.0,28.0,71.0,0.0,0.0,0.0,0.0,19.0,13.0,43.0,5.0,26.0,144.0,3.0,17.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,34.0,16.0,561.0,0.0,52.0,46.0,2.0,0.0,-0.4,3.1,10.0,4.0,22.0,1.0,7.0,80.0,2.0,6.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,8.0,0.0,55.0,0.0,0.0,100.0,0.0,0.0,-24.8,-24.3,4.0,1.0,2.0,0.0,1.0,8.0,0.0,0.0,
