"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Kedrick Brown,,2.0,0.5,0.4,0.1
Trajan Langdon,93.6,2.0,0.6,0.3,
Bubbles Hawkins,89.2,1.9,0.6,0.3,0.1
Tyronn Lue,88.4,2.0,0.4,0.3,0.2
Felipe LÃ³pez,86.8,1.9,0.5,0.4,0.3
Kevin Williams,85.6,1.9,0.6,0.1,0.1
Treveon Graham,85.2,1.8,0.5,0.4,0.2
Emanual Davis,82.9,1.8,0.5,0.3,0.3
Alexey Shved,81.5,2.2,0.8,0.2,
John Wetzel,79.3,2.0,0.7,0.5,0.5
Win Wilfong,79.3,2.1,0.6,0.2,-0.3
