"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Jaden Hardy,,0.7,0.3,-0.3
Earl Boykins,79.6,0.8,0.3,-0.3
Jim Farmer,78.5,0.7,0.4,-0.4
Sergey Karasev,75.0,0.7,0.3,-0.1
Raymond Townsend,66.7,0.8,0.4,-0.2
R.J. Hampton,65.6,0.7,0.4,-0.2
Jermaine Jackson,64.5,0.6,0.2,-0.2
Glenn Hansen,63.4,0.8,0.4,-0.1
Malik Monk,60.2,0.7,0.3,0.0
Andre McCarter,54.8,0.8,0.3,0.0
Sebastian Telfair,54.3,0.6,0.5,-0.4
