"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Shabazz Napier,,3.2,2.0,1.7,0.6,0.5,0.1,,,,
Yogi Ferrell,91.9,3.0,1.9,1.8,0.7,0.3,,,,,
Greg Minor,91.5,3.0,2.1,1.7,0.8,0.6,,,,,
Quinton Ross,91.3,3.2,1.7,1.6,0.7,0.6,0.0,-0.1,,,
Dennis Hopson,85.1,3.1,2.1,1.7,0.5,-0.3,,,,,
Jerian Grant,84.7,3.3,2.5,1.7,0.8,0.0,,,,,
Jevon Carter,84.5,3.5,1.8,1.6,1.2,0.3,0.2,0.0,,,
Ennis Whatley,84.3,3.3,2.2,1.9,0.8,0.7,0.6,0.0,0.0,0.0,0.0
Al Ferrari,83.4,3.3,1.9,1.4,1.4,0.9,0.0,,,,
Mike Barr,82.4,2.7,1.7,1.4,0.7,0.4,,,,,
Tyus Edney,82.3,3.3,1.5,1.5,0.5,,,,,,
