"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Orlando Johnson,,1.5,0.1,-0.2,,,
Johnny Juzang,73.2,1.6,0.4,-0.2,,,
Mychal Mulder,71.9,1.2,0.1,-0.2,,,
Ryan Rollins,67.0,1.7,0.3,-0.3,,,
Bernard Robinson,65.9,1.7,0.3,0.1,,,
Greg Grant,65.6,1.4,0.2,0.0,0.0,0.0,-0.1
Bobby Wilson,64.3,1.6,0.2,0.0,-0.1,,
Nate Wolters,62.3,1.2,-0.1,-0.2,,,
John Kuester,62.2,1.9,0.1,0.0,,,
Isaac Bonga,61.9,1.8,0.1,0.0,-0.1,,
Ray Corley,61.7,1.2,0.0,-0.4,,,
