"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Yao Ming,,11.4,10.7,10.6,8.7,8.6,8.3,7.4,0.3,,,
Mel Daniels,91.2,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0.0,,
Jarrett Allen,90.3,11.6,10.7,9.5,8.5,8.2,7.6,6.4,4.2,,,
Brad Daugherty,83.7,12.7,11.7,9.6,9.0,6.6,6.4,6.0,3.1,,,
Joel Embiid,83.7,12.3,12.0,8.8,8.7,7.5,6.2,6.0,1.9,1.4,,
Domantas Sabonis,83.1,12.6,12.6,10.1,7.6,7.5,7.1,6.9,4.7,0.8,,
Dave Cowens,77.3,12.0,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6
Clyde Lovellette,77.3,10.1,9.0,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3
Karl-Anthony Towns,75.2,14.0,12.7,10.4,10.3,10.1,8.3,6.3,5.4,5.1,2.7,
Hassan Whiteside,75.2,10.3,9.5,8.5,6.3,5.8,5.3,5.3,0.9,0.2,0.0,
Clint Capela,74.6,10.8,10.2,8.3,8.2,7.2,6.3,5.9,4.9,4.4,3.2,0.0
